Year,Location,Escapement (weir),Escapement (tower),Escapement (mark/recapture),Escapement (sonar),Age,Harvest,Region,Aerial Survey
2014,Takotna River,0,0,0,0,0,0,Kuskokwim,0
2015,Takotna River,0,0,0,0,0,0,Kuskokwim,0
2016,Takotna River,0,0,0,0,0,0,Kuskokwim,0
2017,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2018,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2019,Takotna River,1,0,0,0,1,0,Kuskokwim,0
2020,Takotna River,1,0,0,0,1,0,Kuskokwim,0
1969,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1970,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1971,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1972,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1973,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1974,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1975,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1976,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1977,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1978,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1979,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1980,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1981,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1982,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1983,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1984,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1985,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1986,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1987,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1988,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1989,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1990,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1991,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1992,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1993,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1994,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1995,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1996,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1997,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,1
1998,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
1999,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2000,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2001,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2002,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2003,Tatlawiksuk River,0,0,0,0,0,0,Kuskokwim,0
2004,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2005,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2006,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2007,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2008,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2009,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2010,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2011,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,1
2012,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2013,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2014,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2015,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2016,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2017,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2018,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2019,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
2020,Tatlawiksuk River,1,0,0,0,1,0,Kuskokwim,0
1969,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1970,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1971,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1972,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1973,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1974,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1975,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1976,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1977,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1978,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1979,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1980,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1981,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1982,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1983,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1984,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1985,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1986,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1987,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1988,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1989,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1990,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1991,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
1992,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
1993,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
1994,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
1995,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1996,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1997,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1998,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,1
1999,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
2000,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
2001,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2002,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2003,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2004,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2005,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2006,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2007,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2008,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2009,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2010,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2011,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2012,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2013,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,1
2014,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2015,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2016,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2017,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2018,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2019,Tuluksak River ,1,0,0,0,1,0,Kuskokwim,0
2020,Tuluksak River ,0,0,0,0,0,0,Kuskokwim,0
1969,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1970,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1971,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1972,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1973,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1974,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1975,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1976,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1977,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1978,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1979,Andreafsky River (East Fork) ,0,0,0,0,0,0,Yukon (US),0
1980,Andreafsky River (East Fork) ,0,0,0,0,1,0,Yukon (US),0
1981,Andreafsky River (East Fork) ,0,0,0,1,1,0,Yukon (US),0
1982,Andreafsky River (East Fork) ,0,0,0,1,1,0,Yukon (US),0
1983,Andreafsky River (East Fork) ,0,0,0,1,1,0,Yukon (US),0
1984,Andreafsky River (East Fork) ,0,0,0,1,1,0,Yukon (US),0
1985,Andreafsky River (East Fork) ,0,0,0,1,1,0,Yukon (US),0
1986,Andreafsky River (East Fork) ,0,1,0,0,1,0,Yukon (US),0
1987,Andreafsky River (East Fork) ,0,1,0,0,1,0,Yukon (US),0
1988,Andreafsky River (East Fork) ,0,1,0,0,1,0,Yukon (US),0
1989,Andreafsky River (East Fork) ,0,0,0,0,1,0,Yukon (US),0
1990,Andreafsky River (East Fork) ,0,0,0,0,1,0,Yukon (US),0
1991,Andreafsky River (East Fork) ,0,0,0,0,1,0,Yukon (US),0
1992,Andreafsky River (East Fork) ,0,0,0,0,1,0,Yukon (US),0
1993,Andreafsky River (East Fork) ,0,0,0,0,1,0,Yukon (US),0
1994,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
1995,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
1996,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
1997,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
1998,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
1999,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
2000,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2001,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2002,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2003,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2004,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2005,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2006,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2007,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2008,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2009,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2010,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2011,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2012,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
2013,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2014,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2015,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2016,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
2017,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),0
2018,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2019,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
2020,Andreafsky River (East Fork) ,1,0,0,0,1,0,Yukon (US),1
1969,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1970,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1971,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1972,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1973,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1974,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1975,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1976,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1977,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1978,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1979,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1980,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1981,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1982,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1983,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1984,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1985,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1986,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1987,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1988,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1989,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1990,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1991,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1992,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1993,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1994,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
1995,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1996,Beaver Creek,1,0,0,0,1,0,Yukon (US),0
1997,Beaver Creek,1,0,0,0,1,0,Yukon (US),0
1998,Beaver Creek,1,0,0,0,1,0,Yukon (US),0
1999,Beaver Creek,1,0,0,0,1,0,Yukon (US),0
2000,Beaver Creek,1,0,0,0,1,0,Yukon (US),0
2001,Beaver Creek,1,0,0,0,1,0,Yukon (US),1
2002,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2003,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2004,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2005,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2006,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2007,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2008,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2009,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2010,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2011,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2012,Beaver Creek,0,0,0,0,0,0,Yukon (US),1
2013,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2014,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2015,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2016,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2017,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2018,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2019,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
2020,Beaver Creek,0,0,0,0,0,0,Yukon (US),0
1969,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1970,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1971,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1972,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1973,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1974,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1975,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1976,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1977,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1978,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1979,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1980,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1981,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1982,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1983,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1984,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1985,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1986,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1987,Chatanika River,0,0,0,0,1,0,Yukon (US),0
1988,Chatanika River,0,0,0,0,0,0,Yukon (US),0
1989,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1990,Chatanika River,0,1,0,0,0,0,Yukon (US),1
1991,Chatanika River,0,0,0,0,1,0,Yukon (US),1
1992,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1993,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1994,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1995,Chatanika River,0,0,0,0,1,0,Yukon (US),1
1996,Chatanika River,0,0,0,0,1,0,Yukon (US),1
1997,Chatanika River,0,0,0,0,1,0,Yukon (US),1
1998,Chatanika River,0,1,0,0,1,0,Yukon (US),0
1999,Chatanika River,0,1,0,0,1,0,Yukon (US),0
2000,Chatanika River,0,1,0,0,1,0,Yukon (US),0
2001,Chatanika River,0,1,0,0,1,0,Yukon (US),0
2002,Chatanika River,0,1,0,0,1,0,Yukon (US),1
2003,Chatanika River,0,1,0,0,0,0,Yukon (US),1
2004,Chatanika River,0,1,0,0,0,0,Yukon (US),0
2005,Chatanika River,0,1,0,0,0,0,Yukon (US),0
2006,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2007,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2008,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2009,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2010,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2011,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2012,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2013,Chatanika River,0,0,0,0,0,0,Yukon (US),1
2014,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2015,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2016,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2017,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2018,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2019,Chatanika River,0,0,0,0,0,0,Yukon (US),0
2020,Chatanika River,0,0,0,0,0,0,Yukon (US),1
1969,Chena River,0,0,0,0,0,0,Yukon (US),0
1970,Chena River,0,0,0,0,0,0,Yukon (US),1
1971,Chena River,0,0,0,0,0,0,Yukon (US),1
1972,Chena River,0,0,0,0,0,0,Yukon (US),1
1973,Chena River,0,0,0,0,0,0,Yukon (US),1
1974,Chena River,0,0,0,0,1,0,Yukon (US),1
1975,Chena River,0,0,0,0,1,0,Yukon (US),1
1976,Chena River,0,0,0,0,0,0,Yukon (US),1
1977,Chena River,0,0,0,0,0,0,Yukon (US),1
1978,Chena River,0,0,0,0,0,0,Yukon (US),1
1979,Chena River,0,0,0,0,0,0,Yukon (US),1
1980,Chena River,0,0,0,0,1,0,Yukon (US),1
1981,Chena River,0,0,0,0,1,0,Yukon (US),1
1982,Chena River,0,0,0,0,1,0,Yukon (US),1
1983,Chena River,0,0,0,0,1,0,Yukon (US),1
1984,Chena River,0,0,0,0,1,0,Yukon (US),1
1985,Chena River,0,0,0,0,1,0,Yukon (US),1
1986,Chena River,0,0,1,0,1,0,Yukon (US),1
1987,Chena River,0,0,1,0,1,0,Yukon (US),1
1988,Chena River,0,0,1,0,1,0,Yukon (US),1
1989,Chena River,0,0,1,0,1,0,Yukon (US),1
1990,Chena River,0,0,1,0,1,0,Yukon (US),1
1991,Chena River,0,0,1,0,1,0,Yukon (US),1
1992,Chena River,0,0,1,0,1,0,Yukon (US),1
1993,Chena River,0,1,0,0,1,0,Yukon (US),1
1994,Chena River,0,1,0,0,1,0,Yukon (US),1
1995,Chena River,0,1,0,0,1,0,Yukon (US),1
1996,Chena River,0,1,0,0,1,0,Yukon (US),1
1997,Chena River,0,1,0,0,1,0,Yukon (US),1
1998,Chena River,0,1,0,0,1,0,Yukon (US),1
1999,Chena River,0,1,0,0,1,0,Yukon (US),1
2000,Chena River,0,1,0,0,1,0,Yukon (US),1
2001,Chena River,0,1,0,0,1,0,Yukon (US),1
2002,Chena River,0,1,0,0,1,0,Yukon (US),1
2003,Chena River,0,1,0,0,1,0,Yukon (US),1
2004,Chena River,0,1,0,0,1,0,Yukon (US),0
2005,Chena River,0,1,0,0,1,0,Yukon (US),1
2006,Chena River,0,1,0,0,1,0,Yukon (US),1
2007,Chena River,0,1,0,0,1,0,Yukon (US),1
2008,Chena River,0,1,0,0,1,0,Yukon (US),1
2009,Chena River,0,1,0,0,1,0,Yukon (US),0
2010,Chena River,0,1,0,0,1,0,Yukon (US),1
2011,Chena River,0,1,0,0,1,0,Yukon (US),1
2012,Chena River,0,1,0,0,1,0,Yukon (US),1
2013,Chena River,0,1,0,0,1,0,Yukon (US),1
2014,Chena River,0,1,0,0,1,0,Yukon (US),1
2015,Chena River,0,1,0,0,1,0,Yukon (US),0
2016,Chena River,0,1,0,0,1,0,Yukon (US),0
2017,Chena River,0,1,0,0,1,0,Yukon (US),0
2018,Chena River,0,1,0,0,1,0,Yukon (US),0
2019,Chena River,0,1,0,0,1,0,Yukon (US),0
2020,Chena River,0,1,0,0,1,0,Yukon (US),1
1969,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1970,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1971,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1972,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1973,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1974,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1975,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1976,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1977,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1978,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1979,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1980,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1981,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1982,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1983,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1984,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1985,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1986,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1987,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1988,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1989,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1990,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1991,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1992,Eagle Escapement,0,0,0,0,1,0,Yukon (US),0
1993,Eagle Escapement,0,0,0,0,1,0,Yukon (US),0
1994,Eagle Escapement,0,0,0,0,1,0,Yukon (US),0
1995,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1996,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1997,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1998,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
1999,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
2000,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
2001,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
2002,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
2003,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
2004,Eagle Escapement,0,0,0,0,0,0,Yukon (US),0
2005,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2006,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2007,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2008,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2009,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2010,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2011,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2012,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2013,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2014,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2015,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2016,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2017,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2018,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2019,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
2020,Eagle Escapement,0,0,0,1,1,0,Yukon (US),0
1969,Giasa River,0,0,0,0,0,,Yukon (US),0
1970,Giasa River,0,0,0,0,0,,Yukon (US),0
1971,Giasa River,0,0,0,0,0,,Yukon (US),0
1972,Giasa River,0,0,0,0,0,,Yukon (US),0
1973,Giasa River,0,0,0,0,0,,Yukon (US),0
1974,Giasa River,0,0,0,0,0,,Yukon (US),1
1975,Giasa River,0,0,0,0,0,,Yukon (US),1
1976,Giasa River,0,0,0,0,0,,Yukon (US),1
1977,Giasa River,0,0,0,0,0,,Yukon (US),1
1978,Giasa River,0,0,0,0,0,,Yukon (US),1
1979,Giasa River,0,0,0,0,0,,Yukon (US),1
1980,Giasa River,0,0,0,0,0,,Yukon (US),1
1981,Giasa River,0,0,0,0,0,,Yukon (US),0
1982,Giasa River,0,0,0,0,1,,Yukon (US),1
1983,Giasa River,0,0,0,0,0,,Yukon (US),1
1984,Giasa River,0,0,0,0,0,,Yukon (US),0
1985,Giasa River,0,0,0,0,0,,Yukon (US),1
1986,Giasa River,0,0,0,0,0,,Yukon (US),1
1987,Giasa River,0,0,0,0,1,,Yukon (US),1
1988,Giasa River,0,0,0,0,1,,Yukon (US),1
1989,Giasa River,0,0,0,0,1,,Yukon (US),0
1990,Giasa River,0,0,0,0,0,,Yukon (US),1
1991,Giasa River,0,0,0,0,0,,Yukon (US),1
1992,Giasa River,0,0,0,0,0,,Yukon (US),1
1993,Giasa River,0,0,0,0,0,,Yukon (US),1
1994,Giasa River,0,0,0,0,0,,Yukon (US),1
1995,Giasa River,1,0,0,0,0,,Yukon (US),1
1996,Giasa River,1,0,0,0,1,,Yukon (US),0
1997,Giasa River,1,0,0,0,1,,Yukon (US),1
1998,Giasa River,1,0,0,0,1,,Yukon (US),1
1999,Giasa River,1,0,0,0,1,,Yukon (US),1
2000,Giasa River,1,0,0,0,1,,Yukon (US),0
2001,Giasa River,1,0,0,0,1,,Yukon (US),1
2002,Giasa River,1,0,0,0,1,,Yukon (US),1
2003,Giasa River,1,0,0,0,1,,Yukon (US),0
2004,Giasa River,1,0,0,0,1,,Yukon (US),1
2005,Giasa River,1,0,0,0,1,,Yukon (US),1
2006,Giasa River,1,0,0,0,1,,Yukon (US),1
2007,Giasa River,1,0,0,0,1,,Yukon (US),1
2008,Giasa River,1,0,0,0,1,,Yukon (US),1
2009,Giasa River,1,0,0,0,1,,Yukon (US),1
2010,Giasa River,1,0,0,0,1,,Yukon (US),1
2011,Giasa River,1,0,0,0,1,,Yukon (US),1
2012,Giasa River,1,0,0,0,1,,Yukon (US),0
2013,Giasa River,1,0,0,0,1,,Yukon (US),1
2014,Giasa River,0,0,0,0,1,,Yukon (US),0
2015,Giasa River,1,0,0,0,1,,Yukon (US),1
2016,Giasa River,1,0,0,0,1,,Yukon (US),0
2017,Giasa River,1,0,0,0,1,,Yukon (US),0
2018,Giasa River,1,0,0,0,1,,Yukon (US),1
2019,Giasa River,1,0,0,0,1,,Yukon (US),0
2020,Giasa River,1,0,0,0,1,,Yukon (US),1
1969,Goodpaster River,0,0,0,0,0,,Yukon (US),0
