Management Area,Project Type,Location,Latitude,Longitude,First Year,Last Year,Number of Years,Min Count*,Max Count*,Avg Count*,,,
Yukon,Aerial Survey,Engineer Creek,61.720616,-161.936792,1957,1957,1,0,0,0,,,
Yukon,Aerial Survey,Fish Creek (Tributary S.F. Koyukuk River),66.60917,-151.58667,1975,1985,3,0,10,5,,,
Yukon,Aerial Survey,Five Mile Clearwater River,64.40305,-147.02417,1974,1976,3,0,0,0,,,
Yukon,Aerial Survey,Geiger Creek,64.16584,-150.0075,2000,2000,1,0,0,0,,,
Yukon,Aerial Survey,Gisasa River,65.2625,-157.67944,1960,2020,37,45,2775,696,,,
Yukon,Aerial Survey,Glacier Creek (Tributary Bearpaw River),63.72639,-150.97,2006,2006,1,108,108,108,,,
Yukon,Aerial Survey,Glacier Creek (Tributary Clear Creek (Tributary Julius Creek)),64.41917,-149.125,2001,2014,4,0,263,78,,,
Yukon,Aerial Survey,Goodpaster River,64.171224,-145.625755,1954,2007,30,14,3436,648,,,
Yukon,Aerial Survey,Goodpaster River (South fork),64.20483333,-145.173333,2001,2004,3,3,51,27,,,
Yukon,Aerial Survey,Grayling Creek,62.90159095,-160.0643603,1976,2012,2,0,0,0,,,
Yukon,Aerial Survey,Hammond River,67.46028,-150.03306,1983,1997,2,8,48,28,,,
Yukon,Aerial Survey,Henshaw Creek,66.55333,-152.2225,1969,2020,24,6,686,257,,,
Yukon,Aerial Survey,Hodzana River,66.292188,-147.772647,2011,2011,1,98,98,98,,,
Yukon,Aerial Survey,Hogatza River,65.99861,-155.39556,1960,2011,14,0,1,0,,,
Yukon,Aerial Survey,Honhosa River,,,2011,2011,1,0,0,0,,,
Yukon,Aerial Survey,Hult Creek,63.47361111,-151.85,1994,1994,1,8,8,8,,,
Yukon,Aerial Survey,Huslia River,65.738366,-156.538606,2009,2020,6,0,0,0,,,
Yukon,Aerial Survey,Iditarod River,63.03,-158.76556,1992,1992,1,0,0,0,,,
Yukon,Aerial Survey,Illinois Creek,65.18445,-153.07556,1960,1960,1,2,2,2,,,
Yukon,Aerial Survey,Indian River,65.86935,-154.40087,1960,2018,9,0,93,18,,,
Yukon,Aerial Survey,Innoko River,62.19638,-159.7175,1981,1981,1,1,1,1,,,
Yukon,Aerial Survey,Jim River,66.79055,-151.20028,1969,2015,34,1,432,131,,,
Yukon,Aerial Survey,John River,66.91416,-151.65083,1992,1992,1,10,10,10,,,
Yukon,Aerial Survey,Julius Creek,64.48139,-149.13472,1972,2013,13,0,130,39,,,
Yukon,Aerial Survey,June Creek,64.14203,-149.24467,2000,2000,1,0,0,0,,,
Yukon,Aerial Survey,Kako Creek,61.85861,-161.32972,1957,1957,1,0,0,0,,,
Yukon,Aerial Survey,Kala Creek,64.60694,-156.75556,1960,1977,2,1,7,4,,,
Yukon,Aerial Survey,Kaltag River,64.33472,-158.72278,1958,2015,9,0,31,13,,,
Yukon,Aerial Survey,Kandik River,65.37389,-142.51111,1985,2001,3,0,13,5,,,
Yukon,Aerial Survey,Kanuti River,66.44671,-152.99736,1969,1969,1,0,0,0,,,
Yukon,Aerial Survey,Kateel River,65.38629649,-158.5499521,1960,2019,14,0,185,72,,,
Yukon,Aerial Survey,Klikhtentotzna,66.35,-154.75,2011,2011,1,0,0,0,,,
Yukon,Aerial Survey,Kokrines Str,64.93778,-154.68972,1958,1958,1,0,0,0,,,
Yukon,Aerial Survey,Koyukuk River,64.92306,-157.55083,1960,2011,3,0,12,7,,,
Yukon,Aerial Survey,Koyukuk River (Middle Fork),67.0475,-151.07111,1971,2015,7,11,253,91,,,
Yukon,Aerial Survey,Koyukuk River (North Fork),67.04805,-151.07583,1971,2015,5,1,53,24,,,
Yukon,Aerial Survey,Koyukuk River (South Fork),66.5825,-151.93667,1960,2015,34,1,747,212,,,
Yukon,Aerial Survey,Lignite Spring,63.919179,-149.028753,1978,1978,1,0,0,0,,,
Yukon,Aerial Survey,Little Salcha River,64.52917,-147.00472,1953,1953,1,0,0,0,,,
Yukon,Aerial Survey,Lockwood Creek,61.960027,-160.932058,1957,1957,1,0,0,0,,,
Yukon,Aerial Survey,Lost Slough,64.48182694,-149.1394114,1973,1991,9,0,4,0,,,
Yukon,Aerial Survey,McDonald Creek (Tributary Anvik River),63.465,-160.28889,2004,2004,1,5,5,5,,,
Yukon,Aerial Survey,McDonald Creek (Tributary Salchaket Slough),64.7075,-147.60472,1996,2006,5,0,65,19,,,
Yukon,Aerial Survey,McKinley River,63.86611,-151.555,1974,1974,1,0,0,0,,,
Yukon,Aerial Survey,McManus Creek,65.28866667,-146.3805,2003,2003,1,0,0,0,,,
Yukon,Aerial Survey,Melozi Hot Springs Creek,65.18278,-154.91056,1994,2012,7,0,43,16,,,
Yukon,Aerial Survey,Melozitna River,64.76334,-155.45917,1960,2012,16,4,136,17,,,
Yukon,Aerial Survey,Minook Creek,65.51888,-150.13806,1958,1958,1,0,0,0,,,
Yukon,Aerial Survey,Moose Creek (Tributary Bearpaw River),63.8875,-150.90194,2002,2005,2,19,46,32,,,
Yukon,Aerial Survey,Morelock Creek,65.26444,-151.30083,1978,1978,1,0,0,0,,,
Yukon,Aerial Survey,Nageethluk River,62.33450969,-162.137395,1985,1985,1,56,56,56,,,
Yukon,Aerial Survey,Nation River,65.19639,-141.69389,1985,2001,3,0,27,10,,,
Yukon,Aerial Survey,Nenana River,64.565,-149.10444,1974,2014,3,0,18,7,,,
Yukon,Aerial Survey,Ninemile River,64.62805,-158.2975,2012,2012,1,106,106,106,,,
Yukon,Aerial Survey,Nowitna River,64.92638,-154.26944,1987,1987,1,1,1,1,,,
Yukon,Aerial Survey,Nulato River,64.70777,-158.13694,1958,2020,40,0,3025,1094,,,
Yukon,Aerial Survey,Nulato River (South Fork),64.729219,-158.210106,1998,2020,11,167,897,493,,,
Yukon,Aerial Survey,Onemile Slough,64.092533,-145.542168,1973,1980,8,0,0,0,,,
Yukon,Aerial Survey,Otter Creek (Tributary Anvik River),63.24444,-160.69333,1985,2013,5,17,118,53,,,
Yukon,Aerial Survey,Panguingue Creek,63.94139,-149.05694,1978,1978,1,0,0,0,,,
Yukon,Aerial Survey,Piledriver Slough,64.70690273,-147.2949658,1977,1977,1,7,7,7,,,
Yukon,Aerial Survey,Pitka River,,,2011,2011,1,0,0,0,,,
Yukon,Aerial Survey,Pocahontas Creek,65.91388889,-154.3583333,1993,1993,1,0,0,0,,,
Yukon,Aerial Survey,Richardson Clearwater River,64.2425,-146.27417,1962,1980,9,0,0,0,,,
Yukon,Aerial Survey,Rodo River,64.27889,-158.70917,1959,2015,20,0,819,214,,,
Yukon,Aerial Survey,Salcha River,64.46694,-146.97778,1954,2015,51,0,11379,2380,,,
Yukon,Aerial Survey,Salchaket Slough,64.75,-148.00806,1997,1997,1,71,71,71,,,
Yukon,Aerial Survey,Salmon Fork,66.54555,-142.59195,1974,2008,7,0,9,1,,,
Yukon,Aerial Survey,Salmon Trout River,67.15972,-141.66833,1974,1976,3,0,0,0,,,
Yukon,Aerial Survey,Seventeenmile Slough,64.530208,-149.133109,1974,2014,26,0,708,101,,,
Yukon,Aerial Survey,Seventymile River,64.926995,-141.301763,1997,1997,1,7,7,7,,,
Yukon,Aerial Survey,Sheenjek River,66.73944,-144.56445,1973,1985,9,0,65,7,,,
Yukon,Aerial Survey,Simon Creek,63.18861,-159.73278,1978,1978,1,0,0,0,,,
Yukon,Aerial Survey,Slate Creek (Tributary Middle Fork Koyukuk River),67.26028,-150.1975,1974,1982,2,6,13,9,,,
Yukon,Aerial Survey,South Bank (Upper) Tanana River,64.156354,-145.835694,1970,1980,9,0,0,0,,,
Yukon,Aerial Survey,Spruce Creek,61.783656,-161.970822,1957,1957,1,10,10,10,,,
Yukon,Aerial Survey,Squaw Creek,65.51805,-150.15833,1974,1974,1,0,0,0,,,
Yukon,Aerial Survey,Stink Creek,63.98389,-158.93833,1976,2012,2,0,8,4,,,
Yukon,Aerial Survey,Stuyahok River,62.47111,-160.82333,2003,2012,2,10,20,15,,,
Yukon,Aerial Survey,Sushana River,64.15778,-149.98806,2000,2000,1,0,0,0,,,
Yukon,Aerial Survey,Swift River (Tributary Anvik River),63.07222,-160.715,2003,2013,4,3,24,11,,,
Yukon,Aerial Survey,Tanana River,65.15917,-151.95944,1962,1980,7,0,0,0,,,
Yukon,Aerial Survey,Tatonduk River,64.99583,-141.34278,1997,1997,1,1,1,1,,,
Yukon,Aerial Survey,Teklanika River,64.47916667,-149.3166667,1997,1997,1,198,198,198,,,
Yukon,Aerial Survey,Teklanika River Springs,64.4705,-149.322833,2000,2000,1,0,0,0,,,
Yukon,Aerial Survey,Thompson Creek,63.10139,-159.79278,2012,2012,1,0,0,0,,,
Yukon,Aerial Survey,Tozitna River,65.13695,-152.41194,1985,2012,18,0,1262,307,,,
Yukon,Aerial Survey,Unnamed Creek -4137,63.854288,-151.399931,2006,2006,1,19,19,19,,,
Yukon,Aerial Survey,Unnamed Creek -4141,63.835446,-151.460068,2006,2006,1,13,13,13,,,
Yukon,Aerial Survey,Wheeler Creek,66.165,-156.31167,1995,1995,1,3,3,3,,,
Yukon,Aerial Survey,Willow Creek,64.673,-148.2091667,2006,2006,1,0,0,0,,,
Yukon,Aerial Survey,Wood Creek,64.40056,-149.12056,2013,2013,1,0,0,0,,,
Yukon,Aerial Survey,Yellow River,62.9225,-160.68139,1985,1985,1,4,4,4,,,
Yukon,Aerial Survey,Yuki River,64.71583,-156.11944,2011,2012,2,0,21,10,,,
Yukon - Canada,Aerial Survey,Beaver River (Canada),63.958333,-133.9,1985,1985,1,43,43,43,,,
Yukon - Canada,Aerial Survey,Big Creek,62.613888,-136.991666,1992,1992,1,617,617,617,,,
Yukon - Canada,Aerial Survey,Big Kalzas River,62.890277,-135.480555,1968,1985,3,23,76,42,,,
Yukon - Canada,Aerial Survey,Big Salmon River,61.881944,-134.916666,1959,2003,36,34,3075,1007,,,
Yukon - Canada,Aerial Survey,Blind Creek,62.177777,-133.216666,1973,1987,3,1,11,6,,,
Yukon - Canada,Aerial Survey,Chandindu River,64.254166,-139.708333,1985,1985,1,5,5,5,,,
Yukon - Canada,Aerial Survey,Christmas,61.058333,-138.35,1985,1985,1,0,0,0,,,
Yukon - Canada,Aerial Survey,Crooked Creek,63.375,-136.691666,1956,2006,3,0,3,1,,,
Yukon - Canada,Aerial Survey,Donjek River,62.6,-140,1980,1980,1,0,0,0,,,
Yukon - Canada,Aerial Survey,Duke River,61.433333,-139.083333,1976,1976,1,0,0,0,,,
Yukon - Canada,Aerial Survey,Earn River,62.733333,-134.694444,1968,1985,5,30,102,67,,,
Yukon - Canada,Aerial Survey,Fishing Branch River,66.5,-138.416666,1971,1980,10,0,1,0,,,
Yukon - Canada,Aerial Survey,Fortymile River,64.433333,-140.533333,1987,1987,1,2,2,2,,,
Yukon - Canada,Aerial Survey,Gladys River,59.8,-132.316666,1971,2000,7,2,61,25,,,
Yukon - Canada,Aerial Survey,Glenlyon River,62.477777,-134.163888,1972,1985,2,21,25,23,,,
Yukon - Canada,Aerial Survey,Hoole River,61.75,-131.708333,1968,1990,8,16,232,86,,,
Yukon - Canada,Aerial Survey,Jennings River,59.65,-132.133333,1972,2000,12,3,233,44,,,
Yukon - Canada,Aerial Survey,Klondike River,64.054166,-139.440277,1956,1987,9,1,100,31,,,
Yukon - Canada,Aerial Survey,Kluane River,61.875,-139.716666,1972,1980,8,0,8,1,,,
Yukon - Canada,Aerial Survey,Koidern River,62.038888,-140.441666,1980,1995,2,0,0,0,,,
Yukon - Canada,Aerial Survey,Lake Laberge,61.383333,-135.25,1975,1976,2,2,15,8,,,
Yukon - Canada,Aerial Survey,Lapie River,62.033333,-132.6,1981,1984,2,4,5,4,,,
Yukon - Canada,Aerial Survey,Lewis Lake Outlet,62.604166,-131.133333,1972,1990,7,39,157,71,,,
Yukon - Canada,Aerial Survey,Little Kalzas River,62.888888,-135.466666,1972,1985,3,2,13,6,,,
Yukon - Canada,Aerial Survey,Little Salmon River,62.05,-135.658333,1968,2003,31,27,1658,462,,,
Yukon - Canada,Aerial Survey,M'Clintock River,60.558333,-134.483333,1955,1983,8,15,535,125,,,
Yukon - Canada,Aerial Survey,MacIntyre Creek,60.75,-135.1,1993,1993,1,9,9,9,,,
Yukon - Canada,Aerial Survey,Macmillan River (North Fork),63.041666,-133.3,1972,1972,1,7,7,7,,,
Yukon - Canada,Aerial Survey,Macmillan River (South Fork),63.042222,-133.3,1968,1983,5,1,22,7,,,
Yukon - Canada,Aerial Survey,Marsh Lake,60.538888,-134.516666,1974,1974,1,5,5,5,,,
Yukon - Canada,Aerial Survey,Mayo River,63.591666,-135.916666,1968,1985,5,2,20,8,,,
Yukon - Canada,Aerial Survey,McQuesten River,63.55,-137.433333,1974,1987,7,2,83,29,,,
Yukon - Canada,Aerial Survey,Michie Creek,60.670833,-134.466666,1993,1993,1,10,10,10,,,
Yukon - Canada,Aerial Survey,Miner River,66.444444,-138.591666,1972,1974,2,30,89,59,,,
Yukon - Canada,Aerial Survey,Moose River,62.994444,-134.716666,1968,1968,1,25,25,25,,,
Yukon - Canada,Aerial Survey,Morley River,60.095833,-132.495833,1969,2000,18,4,573,127,,,
Yukon - Canada,Aerial Survey,Nisling River,62.45,-139.466666,1983,1983,1,12,12,12,,,
Yukon - Canada,Aerial Survey,Nisutlin River,60.25,-132.566666,1955,2016,36,1,2199,604,,,
Yukon - Canada,Aerial Survey,Nordenskiold River,62.1,-136.301388,1973,1987,5,1,500,149,,,
Yukon - Canada,Aerial Survey,Ollie Lakes and Outlet,63,-131.033333,1968,1972,2,6,84,45,,,
Yukon - Canada,Aerial Survey,Pelly Lakes & Outlet Stream,62.066666,-130.333333,1968,1984,4,17,69,44,,,
Yukon - Canada,Aerial Survey,Pelly River,62.766666,-137.333333,1968,1983,4,1,45,18,,,
Yukon - Canada,Aerial Survey,Pleasant Creek,63.5125,-133.916666,1968,1985,2,14,58,36,,,
Yukon - Canada,Aerial Survey,Prevost River,62.6,-131.166666,1973,1981,2,1,26,13,,,
Yukon - Canada,Aerial Survey,Ross River,61.983333,-132.433333,1968,1996,17,23,897,265,,,
Yukon - Canada,Aerial Survey,Russell Creek,63.0375,-133.383333,1972,1981,2,2,9,5,,,
Yukon - Canada,Aerial Survey,Sheldon Lake Outlet,62.652777,-131.033333,1972,1981,2,2,23,12,,,
Yukon - Canada,Aerial Survey,Swift River (To Teslin Lake),59.733333,-132.183333,1971,2000,11,2,590,165,,,
Yukon - Canada,Aerial Survey,Swift River (To Teslin River),60.8125,-133.858333,1980,1985,4,1,100,47,,,
Yukon - Canada,Aerial Survey,Takhini River,60.841666,-135.183333,1958,1989,21,6,1207,195,,,
Yukon - Canada,Aerial Survey,Tatchun Creek,62.283333,-136.323611,1966,1998,16,7,643,229,,,
Yukon - Canada,Aerial Survey,Teslin River,60.566666,-134.9,1984,1997,4,15,86,35,,,
Yukon - Canada,Aerial Survey,Tincup Creek,61.888888,-139.55,1984,2000,14,16,220,111,,,
Yukon - Canada,Aerial Survey,Wolf River,60.279166,-132.55,1984,2016,20,32,705,271,,,
Yukon - Canada,Aerial Survey,Yukon River (Canada) INDEX AREA-Surveys,62.341666,-136.483333,1986,1986,1,6,6,6,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
